location_id,latitude,longitude,region_name_synthetic
LOC_000001,24.149109,72.400172,Central-Highlands
LOC_000002,16.652945,74.232607,South-Metro
LOC_000003,24.85729,86.274873,South-Metro
LOC_000004,23.219358,72.508523,South-Metro
LOC_000005,16.154122,80.085685,North-Metro
LOC_000006,22.663656,83.456314,Suburban-West
LOC_000007,19.970877,79.187345,Central-Highlands
LOC_000008,27.379179,72.10398,East-Coast
LOC_000009,25.264649,77.444008,East-Coast
LOC_000010,16.090961,84.215906,South-Metro
LOC_000011,13.762171,73.547462,Tech-Park-Alpha
LOC_000012,23.470795,84.914052,Industrial-Zone
LOC_000013,22.188334,87.569852,Financial-District
LOC_000014,13.497204,76.690853,Border-Transit
LOC_000015,28.823583,77.78616,West-Harbor
LOC_000016,25.386865,72.73319,West-Harbor
LOC_000017,26.688298,87.763544,West-Harbor
LOC_000018,28.46319,78.08202,Industrial-Zone
LOC_000019,24.078004,77.837315,Tech-Park-Alpha
LOC_000020,18.750143,82.722803,South-Metro
LOC_000021,23.573489,74.738218,West-Harbor
LOC_000022,15.104647,78.071287,Suburban-West
LOC_000023,16.172688,77.188524,North-Metro
LOC_000024,16.351913,72.513604,Tech-Park-Alpha
LOC_000025,19.622131,73.059018,Border-Transit
LOC_000026,28.650985,77.034846,Industrial-Zone
LOC_000027,19.517006,86.632761,Industrial-Zone
LOC_000028,14.71456,74.234085,Suburban-West
LOC_000029,22.240569,83.952221,Financial-District
LOC_000030,29.058635,78.390408,West-Harbor
LOC_000031,30.94919,74.213308,Industrial-Zone
LOC_000032,13.727279,72.753862,South-Metro
LOC_000033,14.903985,74.559712,Financial-District
LOC_000034,23.331772,78.156277,Border-Transit
LOC_000035,30.926306,80.46583,Suburban-West
LOC_000036,28.354814,72.183696,South-Metro
LOC_000037,24.952497,80.591525,Central-Highlands
LOC_000038,26.603376,77.442808,Central-Highlands
LOC_000039,20.26054,79.259579,Central-Highlands
LOC_000040,30.465874,84.191395,Suburban-West
LOC_000041,29.339929,85.928297,Central-Highlands
LOC_000042,27.991718,80.122606,West-Harbor
LOC_000043,14.903946,84.200173,Suburban-West
LOC_000044,30.116495,86.758945,North-Metro
LOC_000045,23.379947,79.817691,South-Metro
LOC_000046,29.652874,86.05955,Central-Highlands
LOC_000047,16.549594,75.853945,Border-Transit
LOC_000048,29.992039,73.370455,Industrial-Zone
LOC_000049,27.504442,87.647752,Suburban-West
LOC_000050,26.550854,74.054263,Industrial-Zone
LOC_000051,29.990125,74.642031,Suburban-West
LOC_000052,28.576228,78.770207,West-Harbor
LOC_000053,29.649356,84.084243,West-Harbor
LOC_000054,25.54603,78.383877,Tech-Park-Alpha
LOC_000055,20.323902,80.281213,South-Metro
LOC_000056,16.710207,73.024414,North-Metro
LOC_000057,23.177866,75.681836,West-Harbor
LOC_000058,12.136626,83.325455,North-Metro
LOC_000059,16.349894,86.48672,Tech-Park-Alpha
LOC_000060,13.34629,75.808074,Industrial-Zone
LOC_000061,16.070499,74.11699,Border-Transit
LOC_000062,22.948021,75.887956,Industrial-Zone
LOC_000063,27.342443,75.046559,South-Metro
LOC_000064,24.520672,77.668761,Financial-District
LOC_000065,20.873469,83.665214,South-Metro
LOC_000066,13.151641,83.651417,South-Metro
LOC_000067,16.72447,75.043343,Industrial-Zone
LOC_000068,14.663464,74.935809,Industrial-Zone
LOC_000069,16.746323,86.77225,Industrial-Zone
LOC_000070,27.352423,85.69547,South-Metro
LOC_000071,12.961178,87.988519,North-Metro
LOC_000072,30.410929,86.821872,West-Harbor
LOC_000073,15.159911,79.770258,West-Harbor
LOC_000074,28.428357,86.439086,East-Coast
LOC_000075,19.200489,87.764942,Central-Highlands
LOC_000076,29.603843,84.56207,Central-Highlands
LOC_000077,20.037142,87.317082,Suburban-West
LOC_000078,24.575555,79.786743,West-Harbor
LOC_000079,17.637449,87.49935,Border-Transit
LOC_000080,25.979006,72.975321,Tech-Park-Alpha
LOC_000081,13.08614,81.346842,Suburban-West
LOC_000082,29.468355,80.498018,North-Metro
LOC_000083,30.254799,73.281783,East-Coast
LOC_000084,13.301905,73.087374,West-Harbor
LOC_000085,19.671735,87.065538,Border-Transit
LOC_000086,16.678092,81.512306,Border-Transit
LOC_000087,13.557685,82.517971,Border-Transit
LOC_000088,21.932872,86.9553,West-Harbor
LOC_000089,24.724794,77.026942,Central-Highlands
LOC_000090,19.519931,82.747044,Central-Highlands
LOC_000091,20.687267,86.864293,South-Metro
LOC_000092,12.176994,81.938548,Border-Transit
LOC_000093,30.925833,73.172172,West-Harbor
LOC_000094,21.611809,74.119305,Tech-Park-Alpha
LOC_000095,28.736419,86.068324,Tech-Park-Alpha
LOC_000096,17.41476,79.010953,Suburban-West
LOC_000097,25.367259,81.786844,Suburban-West
LOC_000098,12.148639,85.073666,Central-Highlands
LOC_000099,29.703365,73.657384,East-Coast
LOC_000100,17.024853,86.235403,Suburban-West
LOC_000101,14.95351,76.5081,West-Harbor
LOC_000102,25.634632,75.257557,Central-Highlands
LOC_000103,21.602772,76.01794,North-Metro
LOC_000104,13.753671,78.777212,Central-Highlands
LOC_000105,12.837648,77.336905,East-Coast
LOC_000106,24.105154,76.191284,Industrial-Zone
LOC_000107,22.481928,78.842991,North-Metro
LOC_000108,14.125604,87.120815,East-Coast
LOC_000109,22.366215,85.35352,Border-Transit
LOC_000110,22.497977,78.876587,North-Metro
LOC_000111,17.856909,86.383704,North-Metro
LOC_000112,29.079568,75.361225,West-Harbor
LOC_000113,24.671735,77.658858,Suburban-West
LOC_000114,28.798559,78.502038,Border-Transit
LOC_000115,26.240075,86.812221,West-Harbor
LOC_000116,28.427508,87.619297,East-Coast
LOC_000117,28.746908,72.396582,Tech-Park-Alpha
LOC_000118,26.865343,78.587411,West-Harbor
LOC_000119,17.069308,84.597992,South-Metro
LOC_000120,19.268293,72.619594,Industrial-Zone
