person_id,age_group,gender,occupation_category,home_location_id,account_created_date
PER_000001,26-35,M,Student,LOC_000029,2025-03-21
PER_000002,51+,Other,Tech,LOC_000032,2025-01-12
PER_000003,26-35,Other,Freelance,LOC_000054,2025-04-27
PER_000004,26-35,M,Student,LOC_000052,2025-05-07
PER_000005,51+,M,Finance,LOC_000100,2025-01-28
PER_000006,18-25,Other,Healthcare,LOC_000060,2025-05-13
PER_000007,26-35,F,Retired,LOC_000059,2025-02-01
PER_000008,36-50,F,Retired,LOC_000077,2025-05-24
PER_000009,51+,M,Unemployed,LOC_000107,2025-04-20
PER_000010,26-35,Other,Retail,LOC_000034,2025-04-26
PER_000011,26-35,F,Unemployed,LOC_000063,2025-05-14
PER_000012,36-50,M,Retail,LOC_000092,2025-01-20
PER_000013,18-25,M,Finance,LOC_000041,2025-03-27
PER_000014,26-35,Other,Healthcare,LOC_000050,2025-03-01
PER_000015,51+,F,Retired,LOC_000054,2025-01-17
PER_000016,18-25,M,Freelance,LOC_000054,2025-04-30
PER_000017,18-25,Other,Freelance,LOC_000116,2025-04-10
PER_000018,36-50,F,Freelance,LOC_000001,2025-05-03
PER_000019,26-35,F,Healthcare,LOC_000069,2025-04-18
PER_000020,51+,M,Freelance,LOC_000056,2025-03-11
PER_000021,51+,Other,Finance,LOC_000086,2025-03-28
PER_000022,26-35,Other,Retired,LOC_000118,2025-04-30
PER_000023,51+,Other,Student,LOC_000117,2025-01-07
PER_000024,51+,M,Unemployed,LOC_000083,2025-01-22
PER_000025,36-50,F,Services,LOC_000007,2025-02-16
PER_000026,36-50,F,Freelance,LOC_000059,2025-02-24
PER_000027,51+,F,Tech,LOC_000097,2025-03-13
PER_000028,18-25,F,Healthcare,LOC_000003,2025-05-01
PER_000029,18-25,M,Healthcare,LOC_000100,2025-01-18
PER_000030,18-25,Other,Finance,LOC_000108,2025-02-21
PER_000031,51+,Other,Tech,LOC_000017,2025-03-03
PER_000032,51+,Other,Retail,LOC_000028,2025-05-25
PER_000033,18-25,M,Retail,LOC_000022,2025-04-05
PER_000034,18-25,F,Freelance,LOC_000075,2025-01-28
PER_000035,26-35,M,Healthcare,LOC_000092,2025-04-12
PER_000036,36-50,Other,Tech,LOC_000090,2025-01-27
PER_000037,18-25,F,Retired,LOC_000101,2025-05-25
PER_000038,36-50,M,Retired,LOC_000085,2025-04-20
PER_000039,51+,F,Tech,LOC_000002,2025-03-29
PER_000040,51+,Other,Finance,LOC_000047,2025-04-21
PER_000041,36-50,Other,Retired,LOC_000023,2025-04-22
PER_000042,51+,Other,Retail,LOC_000060,2025-05-04
PER_000043,26-35,M,Retail,LOC_000110,2025-03-24
PER_000044,51+,Other,Freelance,LOC_000032,2025-04-26
PER_000045,51+,F,Finance,LOC_000004,2025-03-28
PER_000046,36-50,F,Services,LOC_000028,2025-05-05
PER_000047,36-50,Other,Student,LOC_000113,2025-03-13
PER_000048,18-25,M,Freelance,LOC_000025,2025-05-13
PER_000049,26-35,Other,Unemployed,LOC_000072,2025-05-06
PER_000050,18-25,M,Retail,LOC_000058,2025-05-06
PER_000051,26-35,F,Services,LOC_000052,2025-02-26
PER_000052,36-50,F,Retired,LOC_000071,2025-05-02
PER_000053,51+,F,Retail,LOC_000046,2025-03-26
PER_000054,18-25,Other,Healthcare,LOC_000030,2025-03-06
PER_000055,26-35,M,Healthcare,LOC_000016,2025-03-22
PER_000056,36-50,M,Healthcare,LOC_000036,2025-05-04
PER_000057,36-50,M,Retail,LOC_000030,2025-03-17
PER_000058,26-35,F,Student,LOC_000091,2025-01-04
PER_000059,36-50,Other,Finance,LOC_000071,2025-01-14
PER_000060,18-25,Other,Retail,LOC_000014,2025-05-06
PER_000061,51+,F,Finance,LOC_000062,2025-05-01
PER_000062,51+,M,Tech,LOC_000033,2025-01-14
PER_000063,18-25,Other,Student,LOC_000063,2025-04-13
PER_000064,36-50,M,Healthcare,LOC_000020,2025-02-08
PER_000065,51+,Other,Healthcare,LOC_000072,2025-01-31
PER_000066,51+,F,Retail,LOC_000049,2025-05-14
PER_000067,18-25,Other,Tech,LOC_000040,2025-04-20
PER_000068,26-35,F,Tech,LOC_000081,2025-02-23
PER_000069,26-35,Other,Tech,LOC_000031,2025-02-10
PER_000070,51+,F,Unemployed,LOC_000001,2025-02-10
PER_000071,26-35,F,Retail,LOC_000005,2025-03-16
PER_000072,26-35,F,Healthcare,LOC_000010,2025-04-27
PER_000073,26-35,Other,Finance,LOC_000015,2025-04-19
PER_000074,26-35,M,Student,LOC_000106,2025-03-10
