entity_id,is_anomalous,anomaly_type,severity,start_time,end_time,generation_reason,internal_behavior_tag
PER_000001,True,HIGH_ACTIVITY,high,2025-03-21,2025-12-31,High connectivity hub across disparate groups,hub
PER_000002,True,CLUSTERED,critical,2025-01-12,2025-12-31,Coordinated syndicate / money mule cluster,cluster_member
PER_000003,False,NORMAL,none,2025-04-27,2025-12-31,Standard individual activity baseline,normal
PER_000004,False,NORMAL,none,2025-05-07,2025-12-31,Standard individual activity baseline,normal
PER_000005,False,NORMAL,none,2025-01-28,2025-12-31,Standard individual activity baseline,normal
PER_000006,False,NORMAL,none,2025-05-13,2025-12-31,Standard individual activity baseline,normal
PER_000007,False,NORMAL,none,2025-02-01,2025-12-31,Standard individual activity baseline,normal
PER_000008,False,NORMAL,none,2025-05-24,2025-12-31,Standard individual activity baseline,normal
PER_000009,False,NORMAL,none,2025-04-20,2025-12-31,Standard individual activity baseline,normal
PER_000010,False,NORMAL,none,2025-04-26,2025-12-31,Standard individual activity baseline,normal
PER_000011,False,NORMAL,none,2025-05-14,2025-12-31,Standard individual activity baseline,normal
PER_000012,True,BURST_ACTIVITY,high,2025-01-20,2025-12-31,Sudden 5x-10x surge in daily event velocity,spike
PER_000013,False,NORMAL,none,2025-03-27,2025-12-31,Standard individual activity baseline,normal
PER_000014,False,NORMAL,none,2025-03-01,2025-12-31,Standard individual activity baseline,normal
PER_000015,False,NORMAL,none,2025-01-17,2025-12-31,Standard individual activity baseline,normal
PER_000016,True,CLUSTERED,critical,2025-04-30,2025-12-31,Coordinated syndicate / money mule cluster,cluster_member
PER_000017,False,NORMAL,none,2025-04-10,2025-12-31,Standard individual activity baseline,normal
PER_000018,True,CLUSTERED,critical,2025-05-03,2025-12-31,Coordinated syndicate / money mule cluster,cluster_member
PER_000019,False,NORMAL,none,2025-04-18,2025-12-31,Standard individual activity baseline,normal
PER_000020,False,NORMAL,none,2025-03-11,2025-12-31,Standard individual activity baseline,normal
PER_000021,False,NORMAL,none,2025-03-28,2025-12-31,Standard individual activity baseline,normal
PER_000022,True,LOCATION_ANOMALY,medium,2025-04-30,2025-12-31,Teleportation / impossible velocity between regions,rapid_location
PER_000023,False,NORMAL,none,2025-01-07,2025-12-31,Standard individual activity baseline,normal
PER_000024,True,CLUSTERED,critical,2025-01-22,2025-12-31,Coordinated syndicate / money mule cluster,cluster_member
PER_000025,False,NORMAL,none,2025-02-16,2025-12-31,Standard individual activity baseline,normal
PER_000026,False,NORMAL,none,2025-02-24,2025-12-31,Standard individual activity baseline,normal
PER_000027,True,CLUSTERED,critical,2025-03-13,2025-12-31,Coordinated syndicate / money mule cluster,cluster_member
PER_000028,False,NORMAL,none,2025-05-01,2025-12-31,Standard individual activity baseline,normal
PER_000029,False,NORMAL,none,2025-01-18,2025-12-31,Standard individual activity baseline,normal
PER_000030,False,NORMAL,none,2025-02-21,2025-12-31,Standard individual activity baseline,normal
PER_000031,False,NORMAL,none,2025-03-03,2025-12-31,Standard individual activity baseline,normal
PER_000032,False,NORMAL,none,2025-05-25,2025-12-31,Standard individual activity baseline,normal
PER_000033,False,NORMAL,none,2025-04-05,2025-12-31,Standard individual activity baseline,normal
PER_000034,False,NORMAL,none,2025-01-28,2025-12-31,Standard individual activity baseline,normal
PER_000035,True,LOCATION_ANOMALY,medium,2025-04-12,2025-12-31,Teleportation / impossible velocity between regions,rapid_location
PER_000036,False,NORMAL,none,2025-01-27,2025-12-31,Standard individual activity baseline,normal
PER_000037,False,NORMAL,none,2025-05-25,2025-12-31,Standard individual activity baseline,normal
PER_000038,True,COMMUNICATION_ANOMALY,medium,2025-04-20,2025-12-31,Short rapid-fire ping calls / SMS blasting,comm_burst
PER_000039,False,NORMAL,none,2025-03-29,2025-12-31,Standard individual activity baseline,normal
PER_000040,False,NORMAL,none,2025-04-21,2025-12-31,Standard individual activity baseline,normal
PER_000041,True,LOCATION_ANOMALY,medium,2025-04-22,2025-12-31,Teleportation / impossible velocity between regions,rapid_location
