person_id,daily_event_rate,rolling_burst_ratio_7d,call_to_sms_ratio,high_value_txn_fraction,persons_per_device_count,persons_per_ip_count,max_travel_velocity_kmh,new_peers_last_30d,degree_centrality,in_cluster_comm_ratio,circadian_night_event_ratio,composite_risk_score
PER_000001,0.815,1.414,0.883,0.19,35,29,6827.34,86,3.7172,1.0,0.064,0.646
PER_000002,0.564,1.464,1.0,0.486,35,31,26248.87,26,2.303,1.0,0.059,0.678
PER_000003,0.105,1.15,0.889,0.0,30,31,205.8,23,0.9495,1.0,0.132,0.509
PER_000004,0.126,1.081,0.667,0.0,35,25,86.11,21,0.9394,1.0,0.081,0.478
PER_000005,0.099,1.0,0.714,0.0,31,26,21.48,18,0.899,1.0,0.152,0.469
PER_000006,0.097,1.109,1.143,0.0,33,31,47.83,19,0.9899,1.0,0.088,0.473
PER_000007,0.102,1.111,1.0,0.0,35,25,24.78,18,1.0202,1.0,0.056,0.466
PER_000008,0.102,1.079,0.5,0.0,35,31,11.41,20,0.9091,1.0,0.028,0.459
PER_000009,0.107,1.212,1.0,0.0,35,23,106.53,15,0.9697,1.0,0.086,0.489
PER_000010,0.094,1.103,1.167,0.0,34,27,8.48,16,0.8485,1.0,0.069,0.464
PER_000011,0.109,1.081,0.8,0.0,35,31,37.2,25,1.0303,1.0,0.108,0.472
PER_000012,76.415,0.429,0.956,0.0,35,31,1004901.1,76,3.1616,1.0,0.253,0.597
PER_000013,0.075,1.058,2.0,0.0,35,29,19.4,14,0.8182,1.0,0.074,0.464
PER_000014,0.111,1.086,0.286,0.0,35,27,53.8,14,1.0202,1.0,0.05,0.469
PER_000015,0.101,1.108,1.125,0.0,35,27,1396.88,18,0.9798,1.0,0.0,0.605
PER_000016,0.624,1.432,0.792,0.422,35,31,703.53,21,2.6465,1.0,0.097,0.655
PER_000017,0.084,1.0,0.875,0.0,34,25,23.9,19,0.8485,1.0,0.103,0.465
PER_000018,0.66,1.801,1.692,0.479,35,31,10915.02,34,2.7475,1.0,0.092,0.697
PER_000019,0.094,1.108,0.154,0.0,35,31,28.88,20,0.9596,1.0,0.212,0.482
PER_000020,0.085,1.106,1.429,0.0,31,22,57.84,23,0.8687,1.0,0.0,0.466
PER_000021,0.09,1.0,0.75,0.0,35,27,16.09,19,0.9798,1.0,0.062,0.459
PER_000022,0.11,1.055,0.778,0.0,30,29,156.34,23,1.2626,1.0,0.051,0.487
PER_000023,0.124,1.198,0.5,0.0,35,27,419.92,22,1.2121,1.0,0.068,0.545
PER_000024,0.592,1.453,1.071,0.341,35,31,3939.12,28,2.4848,1.0,0.116,0.668
PER_000025,0.103,1.0,0.875,0.0,32,25,33.55,20,0.9798,1.0,0.108,0.467
PER_000026,0.116,1.115,1.833,0.0,34,31,111.27,24,1.0202,1.0,0.049,0.482
PER_000027,0.661,1.663,1.579,0.298,35,31,2425.12,37,2.8182,1.0,0.104,0.673
PER_000028,0.078,1.187,0.714,0.0,32,31,5.85,18,0.8182,1.0,0.038,0.464
PER_000029,0.118,1.181,0.9,0.0,34,24,229.96,23,0.9293,1.0,0.162,0.518
PER_000030,0.106,1.175,0.455,0.0,35,27,20.63,24,0.9596,1.0,0.114,0.474
PER_000031,0.076,1.1,0.667,0.0,33,31,76.9,13,0.8384,1.0,0.074,0.477
PER_000032,0.137,1.202,1.125,0.0,35,27,104.64,20,1.0808,1.0,0.13,0.493
PER_000033,0.091,1.106,0.429,0.0,35,29,25.94,15,0.9394,1.0,0.129,0.473
PER_000034,0.082,1.194,1.167,0.0,33,22,14.48,15,0.798,1.0,0.0,0.462
PER_000035,0.099,1.109,1.125,0.0,33,25,339.12,20,1.1515,1.0,0.206,0.54
PER_000036,0.083,1.0,2.6,0.0,31,25,4.51,19,0.8485,1.0,0.034,0.454
PER_000037,0.096,1.161,1.0,0.0,34,31,40.92,15,0.9394,1.0,0.032,0.469
PER_000038,239.0,0.143,0.857,0.0,35,31,1400866.31,72,3.0707,1.0,0.268,0.584
PER_000039,0.075,1.143,0.75,0.0,34,22,30.06,18,0.7677,1.0,0.037,0.466
PER_000040,0.073,1.093,0.667,0.0,32,31,4.62,15,0.697,1.0,0.087,0.464
PER_000041,0.082,1.194,0.857,0.0,32,31,87.64,16,0.9798,1.0,0.0,0.476
PER_000042,0.63,1.524,1.906,0.488,35,31,3816.36,28,2.5253,1.0,0.075,0.682
PER_000043,0.095,1.109,2.0,0.0,30,25,0.0,18,0.6162,1.0,0.118,0.467
PER_000044,0.081,1.194,0.75,0.0,32,25,31.95,16,0.7172,1.0,0.179,0.484
PER_000045,0.096,1.107,0.833,0.0,30,25,75.1,15,0.7172,1.0,0.094,0.479
PER_000046,0.114,1.084,1.714,0.0,35,27,18.22,24,0.9899,1.0,0.128,0.47
PER_000047,0.108,1.084,0.571,0.0,34,25,53.98,15,0.9091,1.0,0.103,0.475
PER_000048,0.095,1.21,0.125,0.0,35,25,88.72,16,0.8889,1.0,0.029,0.48
PER_000049,0.141,1.174,1.3,0.0,32,26,317.02,22,0.7374,1.0,0.13,0.531
PER_000050,0.628,1.415,0.771,0.511,35,31,2568.0,25,2.596,1.0,0.101,0.682
PER_000051,0.111,1.107,0.417,0.0,35,27,164.15,19,0.8788,1.0,0.031,0.489
PER_000052,0.093,1.203,0.375,0.0,35,25,13.49,15,0.8485,1.0,0.032,0.466
PER_000053,0.077,1.0,3.0,0.0,33,29,8.96,11,0.7273,1.0,0.0,0.452
PER_000054,0.079,1.0,0.857,0.0,30,24,24.37,16,0.9293,1.0,0.074,0.462
PER_000055,0.108,1.084,1.125,0.0,34,29,17.61,22,0.899,1.0,0.0,0.458
PER_000056,0.102,1.05,1.25,0.0,34,25,24.92,15,1.0303,1.0,0.027,0.46
PER_000057,0.084,1.105,0.5,0.0,35,25,67.44,20,0.9293,1.0,0.1,0.478
PER_000058,0.089,1.105,0.857,0.0,35,24,0.0,16,0.8485,1.0,0.067,0.462
PER_000059,0.859,1.548,1.131,0.131,35,31,33477.55,82,3.6667,1.0,0.064,0.647
PER_000060,0.104,1.0,1.625,0.0,35,31,52.27,21,0.8889,1.0,0.054,0.465
PER_000061,0.128,1.0,1.222,0.0,34,23,59.23,23,1.0,1.0,0.067,0.468
PER_000062,0.829,1.579,1.0,0.226,35,31,5627.36,87,3.6667,1.0,0.09,0.661
PER_000063,76.877,0.429,0.913,0.0,35,31,460365.23,76,3.0303,1.0,0.201,0.592
PER_000064,0.127,1.092,1.25,0.0,31,27,16.63,29,1.1616,1.0,0.044,0.462
PER_000065,0.1,1.111,1.222,0.0,31,27,110.09,23,1.0202,1.0,0.056,0.482
PER_000066,0.11,1.113,0.727,0.0,35,26,37.15,22,1.0202,1.0,0.103,0.473
PER_000067,0.082,1.0,1.5,0.0,35,27,11.88,16,0.7677,1.0,0.138,0.466
PER_000068,0.101,1.079,0.5,0.0,35,29,893.01,13,0.9899,1.0,0.028,0.607
PER_000069,0.094,1.21,0.545,0.0,35,25,203.52,16,0.8485,1.0,0.118,0.51
PER_000070,0.115,1.0,0.3,0.0,34,31,26.82,22,1.1616,1.0,0.024,0.457
PER_000071,0.117,1.0,0.5,0.0,30,24,28.74,20,0.9596,1.0,0.048,0.46
PER_000072,69.75,0.429,0.939,0.0,35,31,172632.83,73,2.8182,1.0,0.176,0.589
PER_000073,0.854,1.461,0.897,0.175,35,29,11773.1,79,3.6869,1.0,0.077,0.648
PER_000074,0.114,1.083,0.636,0.0,31,25,36.08,24,0.9697,1.0,0.132,0.474
PER_000075,0.111,1.113,0.8,0.0,31,31,11.07,20,0.899,1.0,0.026,0.46
PER_000076,0.075,1.0,0.667,0.0,30,25,65.71,16,0.6768,1.0,0.038,0.466
PER_000077,0.104,1.0,0.9,0.0,35,29,20.33,22,1.0303,1.0,0.0,0.454
PER_000078,81.09,0.429,1.114,0.0,35,31,275905.97,74,3.1212,1.0,0.244,0.596
PER_000079,0.102,1.079,1.571,0.0,31,27,19.25,20,0.8687,1.0,0.139,0.471
PER_000080,0.104,1.108,1.333,0.0,35,24,86.32,19,0.8586,1.0,0.061,0.478
PER_000081,0.09,1.069,7.0,0.0,34,25,409.05,11,0.8081,1.0,0.097,0.54
PER_000082,0.107,1.112,1.6,0.0,35,29,23.0,18,1.0101,1.0,0.135,0.473
PER_000083,0.118,1.088,1.5,0.0,31,27,14.0,28,1.0,1.0,0.024,0.459
PER_000084,0.097,1.102,0.857,0.0,33,29,282.18,20,1.0101,1.0,0.057,0.514
PER_000085,0.13,1.117,1.0,0.0,33,27,51.14,24,1.0303,1.0,0.114,0.477
PER_000086,0.092,1.103,0.5,0.0,34,27,10.46,14,0.9091,1.0,0.138,0.471
PER_000087,0.563,1.363,1.344,0.389,35,29,1199.82,20,2.3636,1.0,0.083,0.665
PER_000088,0.089,1.106,0.75,0.0,35,25,16.14,16,0.9091,1.0,0.226,0.481
PER_000089,0.122,1.223,1.375,0.0,30,23,46.74,21,1.0606,1.0,0.098,0.48
PER_000090,0.094,1.071,0.444,0.0,34,26,274.09,21,0.9293,1.0,0.0,0.505
PER_000091,0.09,1.106,0.667,0.0,32,26,38.32,15,0.7071,1.0,0.129,0.475
PER_000092,0.101,1.0,1.667,0.0,35,31,19.57,14,1.0101,1.0,0.061,0.46
PER_000093,0.8,1.683,0.797,0.2,35,31,2005.27,75,3.5152,1.0,0.103,0.664
PER_000094,0.119,1.196,0.727,0.0,30,29,7.47,22,1.0,1.0,0.14,0.475
PER_000095,0.097,1.21,0.25,0.0,29,29,326.99,16,0.9798,1.0,0.029,0.525
PER_000096,0.135,1.166,1.0,0.0,35,25,1172.34,22,1.1212,1.0,0.07,0.615
PER_000097,0.091,1.107,1.0,0.0,34,31,31.7,15,0.899,1.0,0.062,0.467
PER_000098,0.108,1.181,1.1,0.0,32,25,640.84,23,0.9293,1.0,0.135,0.593
PER_000099,257.0,0.143,0.963,0.0,35,29,406621.01,81,3.4141,1.0,0.272,0.584
PER_000100,0.096,1.0,1.0,0.0,32,25,31.2,18,0.899,1.0,0.091,0.465
