ip_id,ip_synthetic,ip_type,region_synthetic
IP_000001,198.113.8.14,vpn,North-Metro
IP_000002,198.0.15.27,datacenter,Border-Transit
IP_000003,198.0.22.40,residential,West-Harbor
IP_000004,198.51.29.53,mobile,East-Coast
IP_000005,198.51.36.66,vpn,Tech-Park-Alpha
IP_000006,198.0.43.79,residential,Industrial-Zone
IP_000007,198.113.50.92,datacenter,East-Coast
IP_000008,198.0.57.105,datacenter,Suburban-West
IP_000009,198.113.64.118,mobile,Suburban-West
IP_000010,198.113.71.131,vpn,South-Metro
IP_000011,198.51.78.144,residential,Financial-District
IP_000012,198.0.85.157,datacenter,South-Metro
IP_000013,198.51.92.170,datacenter,Border-Transit
IP_000014,198.51.99.183,datacenter,Central-Highlands
IP_000015,198.0.106.196,datacenter,North-Metro
IP_000016,198.51.113.209,mobile,Border-Transit
IP_000017,198.51.120.222,vpn,South-Metro
IP_000018,198.51.127.235,residential,West-Harbor
IP_000019,198.51.134.248,datacenter,Suburban-West
IP_000020,198.0.141.7,datacenter,Central-Highlands
IP_000021,198.113.148.20,vpn,West-Harbor
IP_000022,198.51.155.33,mobile,South-Metro
IP_000023,198.113.162.46,residential,Suburban-West
IP_000024,198.113.169.59,mobile,Tech-Park-Alpha
IP_000025,198.51.176.72,mobile,West-Harbor
IP_000026,198.0.183.85,mobile,Central-Highlands
IP_000027,198.0.190.98,mobile,Border-Transit
IP_000028,198.0.197.111,residential,East-Coast
IP_000029,198.113.204.124,datacenter,Industrial-Zone
IP_000030,198.113.211.137,datacenter,Border-Transit
IP_000031,198.113.218.150,vpn,Tech-Park-Alpha
IP_000032,198.0.225.163,datacenter,South-Metro
IP_000033,198.51.232.176,datacenter,Central-Highlands
IP_000034,198.51.239.189,residential,Tech-Park-Alpha
IP_000035,198.113.246.202,residential,Central-Highlands
IP_000036,198.51.253.215,datacenter,North-Metro
IP_000037,198.0.6.228,vpn,Central-Highlands
IP_000038,198.0.13.241,residential,Border-Transit
IP_000039,198.113.20.254,datacenter,Industrial-Zone
