phone_id,owner_person_id,carrier_synthetic,activation_date,is_shared
PH_000001,PER_000001,TelecomX,2025-05-20,False
PH_000002,PER_000002,HorizonMobile,2025-07-08,False
PH_000003,PER_000003,HorizonMobile,2025-07-24,False
PH_000004,PER_000004,VortexCell,2025-07-17,False
PH_000005,PER_000005,HorizonMobile,2025-04-06,False
PH_000006,PER_000006,HorizonMobile,2025-12-21,False
PH_000007,PER_000007,PulseCom,2025-07-08,False
PH_000008,PER_000008,TelecomX,2025-05-17,False
PH_000009,PER_000009,TelecomX,2025-08-06,False
PH_000010,PER_000010,PulseCom,2025-08-09,False
PH_000011,PER_000011,PulseCom,2025-04-03,False
PH_000012,PER_000012,VortexCell,2025-05-31,False
PH_000013,PER_000013,TelecomX,2025-02-22,False
PH_000014,PER_000014,VortexCell,2025-06-17,False
PH_000015,PER_000015,HorizonMobile,2025-06-06,False
PH_000016,PER_000016,HorizonMobile,2025-11-05,False
PH_000017,PER_000017,HorizonMobile,2025-03-27,False
PH_000018,PER_000018,HorizonMobile,2025-06-29,False
PH_000019,PER_000019,VortexCell,2025-01-22,False
PH_000020,PER_000020,HorizonMobile,2025-11-11,False
PH_000021,PER_000021,TelecomX,2025-05-21,False
PH_000022,PER_000022,HorizonMobile,2025-02-08,False
PH_000023,PER_000023,PulseCom,2025-07-06,False
PH_000024,PER_000024,AeroNet,2025-12-14,False
PH_000025,PER_000025,AeroNet,2025-01-16,False
PH_000026,PER_000026,HorizonMobile,2025-11-08,False
PH_000027,PER_000027,AeroNet,2025-01-18,False
PH_000028,PER_000028,AeroNet,2025-02-04,False
PH_000029,PER_000029,VortexCell,2025-11-27,False
PH_000030,PER_000030,HorizonMobile,2025-07-05,False
PH_000031,PER_000031,TelecomX,2025-10-18,False
PH_000032,PER_000032,AeroNet,2025-11-06,False
PH_000033,PER_000033,HorizonMobile,2025-12-14,False
PH_000034,PER_000034,VortexCell,2025-07-09,False
PH_000035,PER_000035,TelecomX,2025-08-16,False
PH_000036,PER_000036,AeroNet,2025-10-21,False
PH_000037,PER_000037,VortexCell,2025-09-29,False
PH_000038,PER_000038,VortexCell,2025-07-23,False
PH_000039,PER_000039,VortexCell,2025-11-29,False
PH_000040,PER_000040,TelecomX,2025-05-08,False
PH_000041,PER_000041,AeroNet,2025-01-14,False
PH_000042,PER_000042,PulseCom,2025-09-13,False
PH_000043,PER_000043,PulseCom,2025-07-18,False
PH_000044,PER_000044,VortexCell,2025-03-02,False
PH_000045,PER_000045,HorizonMobile,2025-05-14,False
PH_000046,PER_000046,PulseCom,2025-04-20,False
PH_000047,PER_000047,HorizonMobile,2025-05-27,False
PH_000048,PER_000048,TelecomX,2025-04-13,False
PH_000049,PER_000049,TelecomX,2025-03-11,False
PH_000050,PER_000050,AeroNet,2025-08-20,False
PH_000051,PER_000051,TelecomX,2025-08-16,False
PH_000052,PER_000052,VortexCell,2025-12-16,False
PH_000053,PER_000053,VortexCell,2025-12-08,False
PH_000054,PER_000054,TelecomX,2025-12-30,False
PH_000055,PER_000055,PulseCom,2025-10-09,False
PH_000056,PER_000056,VortexCell,2025-05-29,False
PH_000057,PER_000057,AeroNet,2025-03-22,False
PH_000058,PER_000058,PulseCom,2025-07-05,False
PH_000059,PER_000059,TelecomX,2025-04-25,False
PH_000060,PER_000060,AeroNet,2025-04-13,False
PH_000061,PER_000061,HorizonMobile,2025-05-02,False
PH_000062,PER_000062,VortexCell,2025-01-14,False
PH_000063,PER_000063,PulseCom,2025-10-11,False
PH_000064,PER_000064,HorizonMobile,2025-07-08,False
PH_000065,PER_000065,AeroNet,2025-10-10,False
PH_000066,PER_000066,TelecomX,2025-11-10,False
PH_000067,PER_000067,VortexCell,2025-02-03,False
PH_000068,PER_000068,HorizonMobile,2025-07-23,False
PH_000069,PER_000069,HorizonMobile,2025-09-27,False
PH_000070,PER_000070,PulseCom,2025-07-29,False
PH_000071,PER_000071,AeroNet,2025-02-07,False
PH_000072,PER_000072,TelecomX,2025-06-12,False
PH_000073,PER_000073,HorizonMobile,2025-08-19,False
PH_000074,PER_000074,PulseCom,2025-12-15,False
PH_000075,PER_000075,AeroNet,2025-06-26,False
PH_000076,PER_000076,PulseCom,2025-10-10,False
PH_000077,PER_000077,AeroNet,2025-04-04,False
PH_000078,PER_000078,PulseCom,2025-08-10,False
PH_000079,PER_000079,TelecomX,2025-01-29,False
PH_000080,PER_000080,AeroNet,2025-09-23,False
PH_000081,PER_000081,AeroNet,2025-06-05,False
PH_000082,PER_000082,VortexCell,2025-03-24,False
PH_000083,PER_000083,AeroNet,2025-12-30,False
PH_000084,PER_000084,PulseCom,2025-06-27,False
PH_000085,PER_000085,TelecomX,2025-05-26,False
PH_000086,PER_000086,AeroNet,2025-05-09,False
PH_000087,PER_000087,PulseCom,2025-11-22,False
PH_000088,PER_000088,AeroNet,2025-05-21,False
PH_000089,PER_000089,VortexCell,2025-11-17,False
PH_000090,PER_000090,PulseCom,2025-11-11,False
PH_000091,PER_000091,PulseCom,2025-02-17,False
PH_000092,PER_000092,AeroNet,2025-11-25,False
PH_000093,PER_000093,PulseCom,2025-10-31,False
PH_000094,PER_000094,AeroNet,2025-03-20,False
PH_000095,PER_000095,PulseCom,2025-12-04,False
PH_000096,PER_000096,VortexCell,2025-11-06,False
PH_000097,PER_000097,TelecomX,2025-10-16,False
PH_000098,PER_000098,TelecomX,2025-01-15,False
PH_000099,PER_000099,PulseCom,2025-01-24,False
PH_000100,PER_000100,AeroNet,2025-05-16,False
PH_000101,PER_000064,PulseCom,2025-10-20,False
PH_000102,PER_000032,HorizonMobile,2025-05-29,False
PH_000103,PER_000021,HorizonMobile,2025-06-02,False
PH_000104,PER_000049,VortexCell,2025-08-01,True
PH_000105,PER_000052,AeroNet,2025-06-13,False
PH_000106,PER_000049,HorizonMobile,2025-07-09,True
PH_000107,PER_000043,AeroNet,2025-03-04,True
PH_000108,PER_000045,PulseCom,2025-02-19,True
PH_000109,PER_000043,VortexCell,2025-08-03,True
PH_000110,PER_000049,HorizonMobile,2025-10-23,True
PH_000111,PER_000064,TelecomX,2025-09-21,False
PH_000112,PER_000031,AeroNet,2025-02-16,False
PH_000113,PER_000091,PulseCom,2025-10-26,True
PH_000114,PER_000002,TelecomX,2025-12-01,False
PH_000115,PER_000045,VortexCell,2025-08-09,True
PH_000116,PER_000073,PulseCom,2025-07-26,False
PH_000117,PER_000050,PulseCom,2025-04-10,False
PH_000118,PER_000080,PulseCom,2025-08-19,False
PH_000119,PER_000043,HorizonMobile,2025-03-02,True
PH_000120,PER_000047,AeroNet,2025-07-11,False
PH_000121,PER_000006,TelecomX,2025-04-12,False
PH_000122,PER_000045,HorizonMobile,2025-01-20,True
PH_000123,PER_000066,AeroNet,2025-09-23,False
PH_000124,PER_000051,PulseCom,2025-06-17,False
PH_000125,PER_000066,PulseCom,2025-06-03,False
PH_000126,PER_000003,VortexCell,2025-09-08,False
PH_000127,PER_000075,VortexCell,2025-06-19,False
PH_000128,PER_000034,PulseCom,2025-12-19,False
PH_000129,PER_000043,PulseCom,2025-10-23,True
PH_000130,PER_000076,PulseCom,2025-09-03,True
PH_000131,PER_000076,AeroNet,2025-07-14,True
PH_000132,PER_000025,TelecomX,2025-01-17,False
PH_000133,PER_000043,HorizonMobile,2025-08-14,True
PH_000134,PER_000076,PulseCom,2025-12-20,True
PH_000135,PER_000008,AeroNet,2025-08-30,False
PH_000136,PER_000045,HorizonMobile,2025-09-23,True
PH_000137,PER_000059,PulseCom,2025-09-27,False
PH_000138,PER_000093,VortexCell,2025-06-25,False
PH_000139,PER_000036,PulseCom,2025-11-09,False
PH_000140,PER_000045,VortexCell,2025-06-02,True
PH_000141,PER_000076,HorizonMobile,2025-12-27,True
PH_000142,PER_000093,VortexCell,2025-06-12,False
PH_000143,PER_000076,PulseCom,2025-05-28,True
PH_000144,PER_000045,AeroNet,2025-07-14,False
PH_000145,PER_000076,TelecomX,2025-05-29,True
PH_000146,PER_000096,HorizonMobile,2025-06-27,False
PH_000147,PER_000076,VortexCell,2025-04-20,True
PH_000148,PER_000049,AeroNet,2025-10-15,True
PH_000149,PER_000082,AeroNet,2025-01-26,False
PH_000150,PER_000045,HorizonMobile,2025-01-27,True
PH_000151,PER_000049,HorizonMobile,2025-02-21,True
PH_000152,PER_000062,AeroNet,2025-12-01,False
PH_000153,PER_000076,TelecomX,2025-05-28,True
