account_id,owner_person_id,account_type,created_date
ACC_000001,PER_000001,social,2025-07-07
ACC_000002,PER_000002,messaging,2025-04-11
ACC_000003,PER_000003,social,2025-02-28
ACC_000004,PER_000004,messaging,2025-12-10
ACC_000005,PER_000005,social,2025-09-28
ACC_000006,PER_000006,messaging,2025-11-02
ACC_000007,PER_000007,messaging,2025-11-09
ACC_000008,PER_000008,bank,2025-10-28
ACC_000009,PER_000009,social,2025-06-28
ACC_000010,PER_000010,wallet,2025-08-23
ACC_000011,PER_000011,social,2025-12-11
ACC_000012,PER_000012,bank,2025-11-11
ACC_000013,PER_000013,wallet,2025-12-11
ACC_000014,PER_000014,bank,2025-06-10
ACC_000015,PER_000015,social,2025-05-03
