case_id,case_type_synthetic,opened_date,status
CASE_000001,Identity_Theft,2025-02-08,closed
CASE_000002,Data_Exfiltration,2025-06-23,under_review
CASE_000003,Crypto_Laundering,2025-07-23,open
CASE_000004,Crypto_Laundering,2025-06-18,under_review
CASE_000005,Money_Mule_Network,2025-07-14,under_review
CASE_000006,Data_Exfiltration,2025-09-07,open
CASE_000007,Phishing_Ring,2025-11-13,open
CASE_000008,Crypto_Laundering,2025-11-20,closed
CASE_000009,Crypto_Laundering,2025-04-27,open
CASE_000010,Phishing_Ring,2025-08-11,under_review
CASE_000011,Phishing_Ring,2025-12-27,closed
CASE_000012,Crypto_Laundering,2025-03-27,closed
CASE_000013,Phishing_Ring,2025-01-15,closed
CASE_000014,Money_Mule_Network,2025-01-29,closed
CASE_000015,Identity_Theft,2025-07-11,open
