entity_id,is_anomalous,anomaly_type,severity,start_time,end_time,generation_reason,internal_behavior_tag
PER_000001,True,HIGH_ACTIVITY,high,2025-03-21,2025-12-31,High connectivity hub across disparate groups,hub
PER_000002,True,CLUSTERED,critical,2025-01-12,2025-12-31,Coordinated syndicate / money mule cluster,cluster_member
PER_000003,False,NORMAL,none,2025-04-27,2025-12-31,Standard individual activity baseline,normal
PER_000004,False,NORMAL,none,2025-05-07,2025-12-31,Standard individual activity baseline,normal
PER_000005,False,NORMAL,none,2025-01-28,2025-12-31,Standard individual activity baseline,normal
PER_000006,False,NORMAL,none,2025-05-13,2025-12-31,Standard individual activity baseline,normal
PER_000007,False,NORMAL,none,2025-02-01,2025-12-31,Standard individual activity baseline,normal
PER_000008,False,NORMAL,none,2025-05-24,2025-12-31,Standard individual activity baseline,normal
PER_000009,False,NORMAL,none,2025-04-20,2025-12-31,Standard individual activity baseline,normal
PER_000010,False,NORMAL,none,2025-04-26,2025-12-31,Standard individual activity baseline,normal
PER_000011,False,NORMAL,none,2025-05-14,2025-12-31,Standard individual activity baseline,normal
PER_000012,True,BURST_ACTIVITY,high,2025-01-20,2025-12-31,Sudden 5x-10x surge in daily event velocity,spike
PER_000013,False,NORMAL,none,2025-03-27,2025-12-31,Standard individual activity baseline,normal
PER_000014,False,NORMAL,none,2025-03-01,2025-12-31,Standard individual activity baseline,normal
PER_000015,False,NORMAL,none,2025-01-17,2025-12-31,Standard individual activity baseline,normal
