person_id,age_group,gender,occupation_category,home_location_id,account_created_date
PER_000001,26-35,m,Student,LOC_000029,2025-03-21
PER_000002,51+,other,Tech,LOC_000032,2025-01-12
PER_000003,26-35,other,Freelance,LOC_000054,2025-04-27
PER_000004,26-35,m,Student,LOC_000052,2025-05-07
PER_000005,51+,m,Finance,LOC_000100,2025-01-28
PER_000006,18-25,other,Healthcare,LOC_000060,2025-05-13
PER_000007,26-35,f,Retired,LOC_000059,2025-02-01
PER_000008,36-50,f,Retired,LOC_000077,2025-05-24
PER_000009,51+,m,Unemployed,LOC_000107,2025-04-20
PER_000010,26-35,other,Retail,LOC_000034,2025-04-26
PER_000011,26-35,f,Unemployed,LOC_000063,2025-05-14
PER_000012,36-50,m,Retail,LOC_000092,2025-01-20
PER_000013,18-25,m,Finance,LOC_000041,2025-03-27
PER_000014,26-35,other,Healthcare,LOC_000050,2025-03-01
PER_000015,51+,f,Retired,LOC_000054,2025-01-17
