phone_id,owner_person_id,carrier_synthetic,activation_date,is_shared
PH_000001,PER_000001,TelecomX,2025-05-20,False
PH_000002,PER_000002,HorizonMobile,2025-07-08,False
PH_000003,PER_000003,HorizonMobile,2025-07-24,False
PH_000004,PER_000004,VortexCell,2025-07-17,False
PH_000005,PER_000005,HorizonMobile,2025-04-06,False
PH_000006,PER_000006,HorizonMobile,2025-12-21,False
PH_000007,PER_000007,PulseCom,2025-07-08,False
PH_000008,PER_000008,TelecomX,2025-05-17,False
PH_000009,PER_000009,TelecomX,2025-08-06,False
PH_000010,PER_000010,PulseCom,2025-08-09,False
PH_000011,PER_000011,PulseCom,2025-04-03,False
PH_000012,PER_000012,VortexCell,2025-05-31,False
PH_000013,PER_000013,TelecomX,2025-02-22,False
PH_000014,PER_000014,VortexCell,2025-06-17,False
PH_000015,PER_000015,HorizonMobile,2025-06-06,False
