source_id,source_type,relationship_type,target_id,target_type,first_seen,last_seen,event_count,weight,metadata
PER_000001,Person,USES_PHONE,PH_000001,Phone,2025-01-01 16:03:43,2025-12-31 12:14:21,85,85.0,
PER_000001,Person,USES_PHONE,PH_000298,Phone,2025-01-02 09:36:03,2025-12-29 10:37:41,86,86.0,
PER_000002,Person,USES_PHONE,PH_000002,Phone,2025-01-08 08:18:28,2025-12-28 11:17:59,70,70.0,
PER_000002,Person,USES_PHONE,PH_000114,Phone,2025-01-02 12:42:42,2025-12-21 18:17:15,64,64.0,
PER_000003,Person,USES_PHONE,PH_000003,Phone,2025-02-14 11:16:16,2025-11-11 08:04:03,5,5.0,
PER_000003,Person,USES_PHONE,PH_000126,Phone,2025-01-01 08:50:49,2025-12-21 07:33:24,11,11.0,
PER_000003,Person,USES_PHONE,PH_000221,Phone,2025-01-01 16:32:54,2025-11-22 04:08:47,8,8.0,
PER_000004,Person,USES_PHONE,PH_000004,Phone,2025-04-30 08:23:15,2025-10-19 10:07:12,7,7.0,
PER_000004,Person,USES_PHONE,PH_000289,Phone,2025-02-17 14:58:42,2025-11-08 11:11:49,10,10.0,
PER_000004,Person,USES_PHONE,PH_000297,Phone,2025-02-13 11:42:36,2025-11-11 06:44:29,5,5.0,
PER_000005,Person,USES_PHONE,PH_000005,Phone,2025-02-09 05:05:45,2025-11-29 14:17:47,15,15.0,
PER_000006,Person,USES_PHONE,PH_000006,Phone,2025-04-30 02:44:25,2025-11-11 02:58:36,6,6.0,
PER_000006,Person,USES_PHONE,PH_000121,Phone,2025-02-05 10:56:29,2025-10-24 18:06:49,7,7.0,
PER_000006,Person,USES_PHONE,PH_000243,Phone,2025-03-22 16:17:56,2025-11-02 15:23:30,9,9.0,
PER_000007,Person,USES_PHONE,PH_000007,Phone,2025-01-26 22:12:02,2025-12-16 18:59:04,9,9.0,
PER_000007,Person,USES_PHONE,PH_000196,Phone,2025-01-16 13:30:21,2025-08-31 12:00:03,3,3.0,
PER_000007,Person,USES_PHONE,PH_000211,Phone,2025-02-05 00:17:06,2025-12-29 15:55:26,9,9.0,
PER_000008,Person,USES_PHONE,PH_000008,Phone,2025-01-05 07:42:02,2025-12-19 14:57:19,16,16.0,
PER_000008,Person,USES_PHONE,PH_000135,Phone,2025-01-05 16:11:22,2025-12-22 21:09:34,10,10.0,
PER_000009,Person,USES_PHONE,PH_000009,Phone,2025-01-12 18:39:53,2025-11-05 14:42:53,15,15.0,
