account_id,owner_person_id,account_type,created_date
ACC_000001,PER_000001,social,2025-07-07
ACC_000002,PER_000002,messaging,2025-04-11
ACC_000003,PER_000003,social,2025-02-28
ACC_000004,PER_000004,messaging,2025-12-10
ACC_000005,PER_000005,social,2025-09-28
ACC_000006,PER_000006,messaging,2025-11-02
ACC_000007,PER_000007,messaging,2025-11-09
ACC_000008,PER_000008,bank,2025-10-28
ACC_000009,PER_000009,social,2025-06-28
ACC_000010,PER_000010,wallet,2025-08-23
ACC_000011,PER_000011,social,2025-12-11
ACC_000012,PER_000012,bank,2025-11-11
ACC_000013,PER_000013,wallet,2025-12-11
ACC_000014,PER_000014,bank,2025-06-10
ACC_000015,PER_000015,social,2025-05-03
ACC_000016,PER_000016,wallet,2025-03-01
ACC_000017,PER_000017,wallet,2025-07-11
ACC_000018,PER_000018,messaging,2025-09-19
ACC_000019,PER_000019,wallet,2025-08-03
ACC_000020,PER_000020,messaging,2025-10-22
ACC_000021,PER_000021,wallet,2025-08-05
ACC_000022,PER_000022,wallet,2025-09-07
ACC_000023,PER_000023,wallet,2025-10-12
ACC_000024,PER_000024,social,2025-09-08
ACC_000025,PER_000025,wallet,2025-03-13
ACC_000026,PER_000026,messaging,2025-06-11
ACC_000027,PER_000027,bank,2025-11-14
ACC_000028,PER_000028,bank,2025-07-03
ACC_000029,PER_000029,wallet,2025-09-06
ACC_000030,PER_000030,messaging,2025-04-10
ACC_000031,PER_000031,messaging,2025-10-15
ACC_000032,PER_000032,messaging,2025-07-29
ACC_000033,PER_000033,messaging,2025-08-01
ACC_000034,PER_000034,wallet,2025-09-08
ACC_000035,PER_000035,bank,2025-02-12
ACC_000036,PER_000036,social,2025-04-23
ACC_000037,PER_000037,social,2025-01-17
ACC_000038,PER_000038,social,2025-04-26
ACC_000039,PER_000039,messaging,2025-03-28
ACC_000040,PER_000040,messaging,2025-10-17
ACC_000041,PER_000041,bank,2025-10-09
ACC_000042,PER_000042,bank,2025-10-21
ACC_000043,PER_000043,social,2025-05-18
ACC_000044,PER_000044,bank,2025-10-05
ACC_000045,PER_000045,wallet,2025-08-14
