device_id,device_type,os_synthetic,first_seen_date
DEV_000001,laptop,iOS 17,2025-10-26
DEV_000002,tablet,macOS Sonoma,2025-08-25
DEV_000003,phone,macOS Sonoma,2025-05-11
DEV_000004,laptop,Android 14,2025-05-28
DEV_000005,tablet,Linux Ubuntu,2025-08-15
DEV_000006,router,Custom OS,2025-06-03
DEV_000007,router,Windows 11,2025-05-09
DEV_000008,router,macOS Sonoma,2025-04-12
DEV_000009,laptop,macOS Sonoma,2025-02-24
DEV_000010,tablet,Linux Ubuntu,2025-10-20
DEV_000011,tablet,Android 14,2025-06-01
DEV_000012,router,Windows 11,2025-12-04
DEV_000013,phone,Linux Ubuntu,2025-01-05
DEV_000014,tablet,iOS 17,2025-09-12
DEV_000015,tablet,iOS 17,2025-11-07
DEV_000016,laptop,Linux Ubuntu,2025-11-22
DEV_000017,laptop,Custom OS,2025-05-09
DEV_000018,phone,Windows 11,2025-02-19
DEV_000019,phone,Linux Ubuntu,2025-08-14
DEV_000020,laptop,Android 14,2025-07-06
DEV_000021,tablet,Custom OS,2025-06-01
DEV_000022,laptop,iOS 17,2025-08-01
DEV_000023,tablet,Linux Ubuntu,2025-03-09
DEV_000024,tablet,iOS 17,2025-09-14
DEV_000025,router,Windows 11,2025-05-12
DEV_000026,phone,macOS Sonoma,2025-06-23
DEV_000027,laptop,iOS 17,2025-02-08
DEV_000028,router,Linux Ubuntu,2025-12-13
DEV_000029,phone,macOS Sonoma,2025-07-07
DEV_000030,tablet,Linux Ubuntu,2025-01-08
DEV_000031,router,Windows 11,2025-03-05
DEV_000032,tablet,Linux Ubuntu,2025-12-11
DEV_000033,tablet,Android 14,2025-07-15
DEV_000034,laptop,macOS Sonoma,2025-12-12
DEV_000035,tablet,Linux Ubuntu,2025-01-13
DEV_000036,phone,Custom OS,2025-04-24
DEV_000037,tablet,Custom OS,2025-08-26
DEV_000038,phone,iOS 17,2025-07-29
DEV_000039,phone,Windows 11,2025-01-24
DEV_000040,phone,Android 14,2025-09-10
DEV_000041,laptop,macOS Sonoma,2025-05-01
DEV_000042,tablet,Custom OS,2025-08-21
DEV_000043,router,Linux Ubuntu,2025-12-23
DEV_000044,router,Custom OS,2025-03-21
DEV_000045,router,Linux Ubuntu,2025-02-20
DEV_000046,tablet,Android 14,2025-07-28
DEV_000047,tablet,iOS 17,2025-12-20
DEV_000048,router,iOS 17,2025-08-16
DEV_000049,phone,Custom OS,2025-07-05
DEV_000050,tablet,Android 14,2025-07-08
DEV_000051,tablet,iOS 17,2025-07-23
DEV_000052,router,Android 14,2025-03-04
DEV_000053,laptop,Custom OS,2025-12-06
DEV_000054,phone,Android 14,2025-11-24
DEV_000055,laptop,iOS 17,2025-06-20
DEV_000056,laptop,Android 14,2025-10-17
DEV_000057,laptop,Linux Ubuntu,2025-10-11
DEV_000058,laptop,Windows 11,2025-04-21
DEV_000059,phone,Windows 11,2025-03-17
DEV_000060,laptop,Linux Ubuntu,2025-03-16
DEV_000061,laptop,Android 14,2025-05-09
DEV_000062,phone,iOS 17,2025-12-05
DEV_000063,tablet,iOS 17,2025-01-08
DEV_000064,tablet,Android 14,2025-10-29
DEV_000065,tablet,Android 14,2025-03-31
DEV_000066,router,Linux Ubuntu,2025-03-06
DEV_000067,phone,macOS Sonoma,2025-02-28
DEV_000068,tablet,Linux Ubuntu,2025-08-18
DEV_000069,phone,macOS Sonoma,2025-10-31
DEV_000070,laptop,Linux Ubuntu,2025-09-15
DEV_000071,tablet,macOS Sonoma,2025-01-23
DEV_000072,phone,Android 14,2025-11-26
DEV_000073,router,macOS Sonoma,2025-09-03
DEV_000074,phone,macOS Sonoma,2025-12-18
DEV_000075,router,Android 14,2025-12-31
DEV_000076,tablet,Linux Ubuntu,2025-02-11
DEV_000077,phone,iOS 17,2025-03-17
DEV_000078,tablet,macOS Sonoma,2025-05-21
DEV_000079,tablet,macOS Sonoma,2025-11-02
DEV_000080,router,Android 14,2025-09-16
DEV_000081,phone,Custom OS,2025-12-26
DEV_000082,laptop,macOS Sonoma,2025-11-30
DEV_000083,laptop,macOS Sonoma,2025-08-20
DEV_000084,router,macOS Sonoma,2025-06-23
DEV_000085,phone,Windows 11,2025-08-01
DEV_000086,tablet,Custom OS,2025-08-07
DEV_000087,tablet,iOS 17,2025-05-11
DEV_000088,router,Android 14,2025-12-18
DEV_000089,phone,Android 14,2025-02-16
DEV_000090,phone,Custom OS,2025-08-10
DEV_000091,laptop,Linux Ubuntu,2025-07-10
DEV_000092,tablet,Custom OS,2025-01-31
DEV_000093,router,Windows 11,2025-03-04
DEV_000094,router,Custom OS,2025-12-07
DEV_000095,tablet,Linux Ubuntu,2025-01-27
DEV_000096,tablet,Android 14,2025-06-09
DEV_000097,laptop,iOS 17,2025-10-23
DEV_000098,router,iOS 17,2025-12-03
DEV_000099,tablet,Linux Ubuntu,2025-02-25
DEV_000100,phone,Windows 11,2025-07-08
DEV_000101,laptop,macOS Sonoma,2025-10-21
DEV_000102,phone,Linux Ubuntu,2025-10-15
DEV_000103,tablet,Android 14,2025-12-03
DEV_000104,tablet,Custom OS,2025-04-03
DEV_000105,tablet,Windows 11,2025-06-08
DEV_000106,laptop,iOS 17,2025-01-04
DEV_000107,router,Android 14,2025-10-17
DEV_000108,phone,Android 14,2025-03-14
DEV_000109,laptop,macOS Sonoma,2025-09-29
DEV_000110,router,Windows 11,2025-08-03
DEV_000111,tablet,Windows 11,2025-03-22
DEV_000112,phone,Android 14,2025-06-16
DEV_000113,laptop,Linux Ubuntu,2025-03-21
DEV_000114,phone,Windows 11,2025-01-26
DEV_000115,router,macOS Sonoma,2025-08-15
DEV_000116,router,macOS Sonoma,2025-11-07
DEV_000117,laptop,Linux Ubuntu,2025-05-20
DEV_000118,tablet,macOS Sonoma,2025-02-28
DEV_000119,tablet,Custom OS,2025-02-26
DEV_000120,router,Linux Ubuntu,2025-12-14
