source_id,source_type,relationship_type,target_id,target_type,first_seen,last_seen,event_count,weight,metadata
PER_000001,Person,USES_PHONE,PH_000001,Phone,2025-01-01 16:03:43,2025-12-31 12:14:21,85,85.0,
PER_000001,Person,USES_PHONE,PH_000298,Phone,2025-01-02 09:36:03,2025-12-29 10:37:41,86,86.0,
PER_000002,Person,USES_PHONE,PH_000002,Phone,2025-01-08 08:18:28,2025-12-28 11:17:59,70,70.0,
PER_000002,Person,USES_PHONE,PH_000114,Phone,2025-01-02 12:42:42,2025-12-21 18:17:15,64,64.0,
PER_000003,Person,USES_PHONE,PH_000003,Phone,2025-02-14 11:16:16,2025-11-11 08:04:03,5,5.0,
PER_000003,Person,USES_PHONE,PH_000126,Phone,2025-01-01 08:50:49,2025-12-21 07:33:24,11,11.0,
PER_000003,Person,USES_PHONE,PH_000221,Phone,2025-01-01 16:32:54,2025-11-22 04:08:47,8,8.0,
PER_000004,Person,USES_PHONE,PH_000004,Phone,2025-04-30 08:23:15,2025-10-19 10:07:12,7,7.0,
PER_000004,Person,USES_PHONE,PH_000289,Phone,2025-02-17 14:58:42,2025-11-08 11:11:49,10,10.0,
PER_000004,Person,USES_PHONE,PH_000297,Phone,2025-02-13 11:42:36,2025-11-11 06:44:29,5,5.0,
PER_000005,Person,USES_PHONE,PH_000005,Phone,2025-02-09 05:05:45,2025-11-29 14:17:47,15,15.0,
PER_000006,Person,USES_PHONE,PH_000006,Phone,2025-04-30 02:44:25,2025-11-11 02:58:36,6,6.0,
PER_000006,Person,USES_PHONE,PH_000121,Phone,2025-02-05 10:56:29,2025-10-24 18:06:49,7,7.0,
PER_000006,Person,USES_PHONE,PH_000243,Phone,2025-03-22 16:17:56,2025-11-02 15:23:30,9,9.0,
PER_000007,Person,USES_PHONE,PH_000007,Phone,2025-01-26 22:12:02,2025-12-16 18:59:04,9,9.0,
PER_000007,Person,USES_PHONE,PH_000196,Phone,2025-01-16 13:30:21,2025-08-31 12:00:03,3,3.0,
PER_000007,Person,USES_PHONE,PH_000211,Phone,2025-02-05 00:17:06,2025-12-29 15:55:26,9,9.0,
PER_000008,Person,USES_PHONE,PH_000008,Phone,2025-01-05 07:42:02,2025-12-19 14:57:19,16,16.0,
PER_000008,Person,USES_PHONE,PH_000135,Phone,2025-01-05 16:11:22,2025-12-22 21:09:34,10,10.0,
PER_000009,Person,USES_PHONE,PH_000009,Phone,2025-01-12 18:39:53,2025-11-05 14:42:53,15,15.0,
PER_000009,Person,USES_PHONE,PH_000278,Phone,2025-01-02 20:38:21,2025-10-29 14:01:19,7,7.0,
PER_000010,Person,USES_PHONE,PH_000010,Phone,2025-02-21 13:08:05,2025-10-06 13:19:17,10,10.0,
PER_000010,Person,USES_PHONE,PH_000212,Phone,2025-02-12 19:34:22,2025-12-06 09:33:06,11,11.0,
PER_000011,Person,USES_PHONE,PH_000011,Phone,2025-02-11 11:42:10,2025-12-17 12:16:43,6,6.0,
PER_000011,Person,USES_PHONE,PH_000174,Phone,2025-02-08 21:20:10,2025-12-18 16:51:59,7,7.0,
PER_000011,Person,USES_PHONE,PH_000255,Phone,2025-02-25 16:02:16,2025-12-23 20:43:05,8,8.0,
PER_000012,Person,USES_PHONE,PH_000012,Phone,2025-07-10 01:19:12,2025-07-12 23:57:37,140,140.0,
PER_000013,Person,USES_PHONE,PH_000013,Phone,2025-01-02 07:12:46,2025-12-27 22:12:54,11,11.0,
PER_000013,Person,USES_PHONE,PH_000292,Phone,2025-01-09 16:33:15,2025-10-30 21:20:08,7,7.0,
PER_000014,Person,USES_PHONE,PH_000014,Phone,2025-01-02 18:40:52,2025-12-28 15:12:25,25,25.0,
PER_000015,Person,USES_PHONE,PH_000015,Phone,2025-01-16 13:20:08,2025-11-30 06:18:10,24,24.0,
PER_000016,Person,USES_PHONE,PH_000016,Phone,2025-01-01 14:12:56,2025-12-31 09:10:47,137,137.0,
PER_000017,Person,USES_PHONE,PH_000017,Phone,2025-01-19 18:29:24,2025-12-23 07:15:56,17,17.0,
PER_000018,Person,USES_PHONE,PH_000018,Phone,2025-01-02 14:36:32,2025-12-31 11:59:06,151,151.0,
PER_000019,Person,USES_PHONE,PH_000019,Phone,2025-01-03 09:27:04,2025-12-21 20:27:58,22,22.0,
PER_000020,Person,USES_PHONE,PH_000020,Phone,2025-01-02 09:30:08,2025-12-23 12:05:03,11,11.0,
PER_000020,Person,USES_PHONE,PH_000256,Phone,2025-05-10 16:05:17,2025-12-31 14:27:24,9,9.0,
PER_000021,Person,USES_PHONE,PH_000021,Phone,2025-01-26 07:35:39,2025-12-23 22:49:35,10,10.0,
PER_000021,Person,USES_PHONE,PH_000103,Phone,2025-01-22 13:36:55,2025-12-12 18:08:38,9,9.0,
PER_000022,Person,USES_PHONE,PH_000022,Phone,2025-01-16 08:05:35,2025-12-22 17:01:51,23,23.0,
PER_000023,Person,USES_PHONE,PH_000023,Phone,2025-01-25 16:37:17,2025-12-05 09:50:02,12,12.0,
PER_000023,Person,USES_PHONE,PH_000234,Phone,2025-01-10 17:50:05,2025-12-18 22:19:39,16,16.0,
PER_000024,Person,USES_PHONE,PH_000024,Phone,2025-01-01 01:58:22,2025-12-31 21:39:11,124,124.0,
PER_000025,Person,USES_PHONE,PH_000025,Phone,2025-01-09 11:01:18,2025-12-06 19:37:16,9,9.0,
PER_000025,Person,USES_PHONE,PH_000132,Phone,2025-01-05 05:56:56,2025-12-27 06:23:05,13,13.0,
PER_000026,Person,USES_PHONE,PH_000026,Phone,2025-03-13 17:56:05,2025-12-28 09:50:51,9,9.0,
PER_000026,Person,USES_PHONE,PH_000176,Phone,2025-01-09 11:26:01,2025-11-15 08:48:16,16,16.0,
PER_000027,Person,USES_PHONE,PH_000027,Phone,2025-01-01 22:04:12,2025-12-31 16:48:51,64,64.0,
PER_000027,Person,USES_PHONE,PH_000245,Phone,2025-01-01 06:17:05,2025-12-20 14:46:46,77,77.0,
PER_000028,Person,USES_PHONE,PH_000028,Phone,2025-01-24 09:38:59,2025-12-17 21:02:59,17,17.0,
PER_000029,Person,USES_PHONE,PH_000029,Phone,2025-02-14 12:33:38,2025-11-16 07:52:51,21,21.0,
PER_000030,Person,USES_PHONE,PH_000030,Phone,2025-02-07 13:13:33,2025-10-23 12:57:21,5,5.0,
PER_000030,Person,USES_PHONE,PH_000229,Phone,2025-03-16 01:37:44,2025-12-12 14:53:03,6,6.0,
PER_000030,Person,USES_PHONE,PH_000242,Phone,2025-03-16 15:16:33,2025-10-16 17:43:36,6,6.0,
PER_000031,Person,USES_PHONE,PH_000031,Phone,2025-02-20 15:49:57,2025-09-11 15:34:35,3,3.0,
PER_000031,Person,USES_PHONE,PH_000112,Phone,2025-01-08 23:17:51,2025-12-29 15:50:29,9,9.0,
PER_000031,Person,USES_PHONE,PH_000279,Phone,2025-01-23 13:14:35,2025-12-14 19:53:21,6,6.0,
PER_000032,Person,USES_PHONE,PH_000032,Phone,2025-02-18 10:09:27,2025-11-07 11:09:34,12,12.0,
PER_000032,Person,USES_PHONE,PH_000102,Phone,2025-02-16 18:50:54,2025-12-11 12:09:11,10,10.0,
PER_000032,Person,USES_PHONE,PH_000165,Phone,2025-01-19 04:54:01,2025-11-11 07:24:08,5,5.0,
PER_000033,Person,USES_PHONE,PH_000033,Phone,2025-03-22 18:22:24,2025-12-23 18:44:25,16,16.0,
PER_000034,Person,USES_PHONE,PH_000034,Phone,2025-03-21 13:01:09,2025-06-18 06:07:05,3,3.0,
PER_000034,Person,USES_PHONE,PH_000128,Phone,2025-01-12 09:34:01,2025-12-20 07:53:53,6,6.0,
PER_000034,Person,USES_PHONE,PH_000167,Phone,2025-03-10 19:27:16,2025-12-21 12:30:42,6,6.0,
PER_000035,Person,USES_PHONE,PH_000035,Phone,2025-04-28 02:29:15,2025-12-31 03:47:04,13,13.0,
PER_000035,Person,USES_PHONE,PH_000166,Phone,2025-03-03 06:02:38,2025-12-23 17:30:37,11,11.0,
PER_000036,Person,USES_PHONE,PH_000036,Phone,2025-01-03 05:53:55,2025-12-19 17:15:29,15,15.0,
PER_000036,Person,USES_PHONE,PH_000139,Phone,2025-03-04 19:01:00,2025-12-05 14:27:38,8,8.0,
PER_000037,Person,USES_PHONE,PH_000037,Phone,2025-03-03 14:28:22,2025-09-15 06:08:19,8,8.0,
PER_000037,Person,USES_PHONE,PH_000233,Phone,2025-03-13 11:33:40,2025-12-10 08:06:09,14,14.0,
PER_000038,Person,USES_PHONE,PH_000038,Phone,2025-05-01 00:00:10,2025-05-01 23:41:18,140,140.0,
PER_000039,Person,USES_PHONE,PH_000039,Phone,2025-01-03 07:10:09,2025-12-16 12:48:13,14,14.0,
PER_000040,Person,USES_PHONE,PH_000040,Phone,2025-04-14 16:27:59,2025-10-10 07:56:47,5,5.0,
PER_000040,Person,USES_PHONE,PH_000181,Phone,2025-01-21 21:49:55,2025-09-07 12:27:44,7,7.0,
PER_000041,Person,USES_PHONE,PH_000041,Phone,2025-01-12 16:36:38,2025-11-23 11:40:57,17,17.0,
PER_000042,Person,USES_PHONE,PH_000042,Phone,2025-01-02 21:35:27,2025-12-20 20:56:12,65,65.0,
PER_000042,Person,USES_PHONE,PH_000199,Phone,2025-01-15 14:31:45,2025-12-25 15:53:47,68,68.0,
PER_000043,Person,USES_PHONE,PH_000043,Phone,2025-01-19 09:05:26,2025-09-18 13:33:01,2,2.0,
PER_000043,Person,USES_PHONE,PH_000133,Phone,2025-03-15 08:18:46,2025-12-12 16:20:58,2,2.0,
PER_000043,Person,USES_PHONE,PH_000160,Phone,2025-07-20 04:44:16,2025-07-20 04:44:16,1,1.0,
PER_000043,Person,USES_PHONE,PH_000205,Phone,2025-04-25 09:52:18,2025-07-19 21:05:31,2,2.0,
PER_000043,Person,USES_PHONE,PH_000206,Phone,2025-03-03 12:17:09,2025-03-03 12:17:09,1,1.0,
PER_000043,Person,USES_PHONE,PH_000209,Phone,2025-09-08 09:56:06,2025-09-08 09:56:06,1,1.0,
PER_000043,Person,USES_PHONE,PH_000214,Phone,2025-12-02 07:30:50,2025-12-02 07:30:50,1,1.0,
PER_000043,Person,USES_PHONE,PH_000223,Phone,2025-05-28 04:36:32,2025-05-28 04:36:32,1,1.0,
PER_000043,Person,USES_PHONE,PH_000228,Phone,2025-08-01 17:54:56,2025-08-01 17:54:56,1,1.0,
PER_000043,Person,USES_PHONE,PH_000230,Phone,2025-11-25 06:37:53,2025-12-19 20:42:09,2,2.0,
PER_000043,Person,USES_PHONE,PH_000240,Phone,2025-05-01 17:31:04,2025-05-01 17:31:04,1,1.0,
PER_000043,Person,USES_PHONE,PH_000268,Phone,2025-01-15 14:05:46,2025-01-15 14:05:46,1,1.0,
PER_000043,Person,USES_PHONE,PH_000286,Phone,2025-11-04 18:04:40,2025-11-04 18:04:40,1,1.0,
PER_000043,Person,USES_PHONE,PH_000295,Phone,2025-02-27 13:35:08,2025-02-27 13:35:08,1,1.0,
PER_000044,Person,USES_PHONE,PH_000044,Phone,2025-01-17 05:48:00,2025-12-17 20:40:01,9,9.0,
PER_000044,Person,USES_PHONE,PH_000250,Phone,2025-03-06 11:53:34,2025-12-18 11:08:21,10,10.0,
PER_000045,Person,USES_PHONE,PH_000108,Phone,2025-02-03 05:44:41,2025-02-03 05:44:41,1,1.0,
PER_000045,Person,USES_PHONE,PH_000115,Phone,2025-01-30 07:04:19,2025-01-30 07:04:19,1,1.0,
PER_000045,Person,USES_PHONE,PH_000122,Phone,2025-04-24 16:14:37,2025-04-24 16:14:37,1,1.0,
PER_000045,Person,USES_PHONE,PH_000136,Phone,2025-06-10 07:12:20,2025-09-03 17:58:57,2,2.0,
PER_000045,Person,USES_PHONE,PH_000140,Phone,2025-09-09 12:59:11,2025-09-09 12:59:11,1,1.0,
PER_000045,Person,USES_PHONE,PH_000144,Phone,2025-04-16 06:58:52,2025-04-16 06:58:52,1,1.0,
PER_000045,Person,USES_PHONE,PH_000164,Phone,2025-06-09 04:37:22,2025-06-09 04:37:22,1,1.0,
PER_000045,Person,USES_PHONE,PH_000169,Phone,2025-01-11 08:54:21,2025-09-04 13:57:05,5,5.0,
PER_000045,Person,USES_PHONE,PH_000185,Phone,2025-01-11 16:06:52,2025-01-11 16:06:52,1,1.0,
PER_000045,Person,USES_PHONE,PH_000210,Phone,2025-03-04 21:54:44,2025-03-04 21:54:44,1,1.0,
PER_000045,Person,USES_PHONE,PH_000249,Phone,2025-03-11 09:45:55,2025-03-11 09:45:55,1,1.0,
PER_000045,Person,USES_PHONE,PH_000269,Phone,2025-10-09 16:26:52,2025-10-09 16:26:52,1,1.0,
PER_000045,Person,USES_PHONE,PH_000273,Phone,2025-01-01 10:27:40,2025-01-01 10:27:40,1,1.0,
PER_000046,Person,USES_PHONE,PH_000046,Phone,2025-01-08 17:36:20,2025-12-14 16:28:50,26,26.0,
PER_000047,Person,USES_PHONE,PH_000047,Phone,2025-05-08 09:02:47,2025-12-31 09:19:52,11,11.0,
PER_000047,Person,USES_PHONE,PH_000120,Phone,2025-01-03 16:50:16,2025-11-27 15:31:50,9,9.0,
PER_000048,Person,USES_PHONE,PH_000048,Phone,2025-01-06 14:34:11,2025-11-20 20:00:39,9,9.0,
PER_000048,Person,USES_PHONE,PH_000172,Phone,2025-04-22 20:05:23,2025-12-27 10:04:38,9,9.0,
PER_000049,Person,USES_PHONE,PH_000104,Phone,2025-12-10 16:37:55,2025-12-10 16:37:55,1,1.0,
PER_000049,Person,USES_PHONE,PH_000106,Phone,2025-06-24 16:37:05,2025-06-24 16:37:05,1,1.0,
